Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,perception,tempo,Task Version,order-enwm,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: image,Spreadsheet: correct_response,Spreadsheet: whitescreen,Manipulation: Spreadsheet
1,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,,,,,,5,START SUBSYSTEM base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,
2,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,,,,,,5,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,
3,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,
4,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,1,screen 1,Screen 1,zufrd2,1,continue,,869,867,869,869,867,869,1,869,0,0,,Click To Continue,Continue Button,2,object-4,screen 1,,,,
5,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,1,Trial,Screen 1,um9bhn,1,continue,,1933,1933,1933,1933,1933,1933,1,1933,0,0,,Fixation Timing,Fixation,1,object-8,Trial,1.jpg,Absent,whitescreen.jpg,
6,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,1,Trial,Screen 2,gdvsqo,2,response,Absent,677,667,677,677,667,677,1,677,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,1.jpg,Absent,whitescreen.jpg,
7,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,2,Trial,Screen 1,um9bhn,1,continue,,1932,1932,1932,1932,1932,1932,1,1932,0,0,,Fixation Timing,Fixation,1,object-8,Trial,2.jpg,Present,whitescreen.jpg,
8,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,2,Trial,Screen 2,gdvsqo,2,response,Present,692,668,692,692,668,692,1,692,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,2.jpg,Present,whitescreen.jpg,
9,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,3,Trial,Screen 1,um9bhn,1,continue,,1934,1934,1934,1934,1934,1934,1,1934,0,0,,Fixation Timing,Fixation,1,object-8,Trial,3.jpg,Present,whitescreen.jpg,
10,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,3,Trial,Screen 2,gdvsqo,2,response,Present,797,766,797,797,766,797,1,797,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,3.jpg,Present,whitescreen.jpg,
