Age,Gender_Male,Gender_Female, Gender_Non-binary,Gender_Other,"Please answer the following: - I feel comfortable expressing my opinions in online discussions, such as group chats.",Please answer the following: - I believe I can communicate effectively through social media.,Please answer the following: - My self-esteem increases when I actively participate in online discussions or group chats.,Please answer the following: - I feel confident when I post my thoughts or ideas online.,Please answer the following: - I feel capable of contributing meaningfully to online conversations.,"Please answer the following: - I often compare my online presence to that of others, which affects my self-worth.",Please answer the following: - I feel good about myself when I receive positive feedback on social media.,Please answer the following: - Viewing others’ online achievements sometimes makes me feel less confident in myself.,Please answer the following: - Scrolling through others' posts makes me reflect on my own self-worth.,"Please answer the following: - My confidence is affected by the popularity of my online posts (likes, shares, etc.).",Please answer the following: - Seeing others’ positive posts online makes me question my own accomplishments.,Please answer the following: - My self-esteem varies depending on the reactions my online posts receive.,Please answer the following: - I prefer to observe and read rather than actively participate in online discussions or group chats.,Please answer the following: - I feel nervous about how others will react to my posts on social media.,Please answer the following: - I worry about how others perceive me on social media.,Please answer the following: - I sometimes feel left out when I observe others’ online interactions.,Please answer the following: - Scrolling through social media sometimes makes me feel isolated.,Please answer the following: - I find it difficult to join discussions or comment on posts due to fear of judgment.,Please answer the following: - I often worry about being judged when I engage in online communication.,Please answer the following: - I get anxious when waiting for others to respond to my posts or messages.,Please answer the following: - I feel self-conscious when I post photos or videos of myself online.,Please answer the following: - Engaging in group chats online makes me worry about saying something wrong.,Please answer the following: - I hesitate to share my opinions online for fear of negative feedback.,Please answer the following: - I feel pressure to maintain a certain image on social media to avoid judgment.,Please answer the following: - I feel that my online friends provide me with emotional support when I need it.,Please answer the following: - I rely on social media to connect with friends during difficult times.,Please answer the following: - I appreciate the encouragement I receive from my online friends.,Please answer the following: - I feel a sense of belonging when I participate in online group chats.,Please answer the following: - My online friends make me feel valued and accepted.,Please answer the following: - I turn to my online friends when I’m struggling emotionally.,Please answer the following: - I find comfort in reading supportive comments from others on my posts.,Please answer the following: - I feel understood by my online peers when I share my experiences.,Please answer the following: - Viewing positive interactions among others on social media reassures me.,Please answer the following: - I gain emotional strength by reading about others’ similar experiences online.,"Please answer the following: - I feel connected to others by following their life updates, even if I don’t interact.",Please answer the following: - Reading supportive messages on my posts makes me feel less alone.,Please answer the following: - I can use blogging as an effective way of connecting with others.,Please answer the following: - I can write blog posts that other people will read and be interested in,Please answer the following: - I can be very effective using blogging sites like blogger,Please answer the following: - I can have a positive impact on the lives’ of others through blogging,Please answer the following: - I can offer other people important and interesting information by posting on the Internet,Please answer the following: - I can find important and interesting information by reading other people’s blogs,Please answer the following: - I can improve my own well-being through the use of hyperlinks,Please answer the following: - I can use hyperlinks to find information that is important to others,Please answer the following: - I can use hyperlinks to find information that is important to me,Please answer the following: - I can improve others’ well-being through the use of hyperlinks,Please answer the following: - I can use the Internet to answer other people’s questions in a productive way,Please answer the following: - I can use the Internet to answer my own questions in a productive way,Please answer the following: - I can organize the information I find on the Internet so that it is coherent and answers specific questions,Please answer the following: - I can use social networking sites as an effective way of connecting with others,Please answer the following: - I can be very effective communicating using social networking sites like Facebook,Please answer the following: - I can use the Internet to help me find good information about children and their development,Please answer the following: - I can use the Internet to find good information about topics that are important to me
21,,4,,,4,4,4,2,4,4,4,3,2,2,2,2,2,2,4,4,3,4,2,5,4,2,2,2,3,4,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,4,4,4,4,5,6,6,6,6,6,6
22,,4,,,4,3,3,2,2,3,4,4,4,3,3,2,4,4,3,3,4,3,4,2,3,5,3,4,2,1,1,2,1,1,2,2,4,3,1,4,2,2,2,2,4,3,2,4,4,2,5,4,5,4,4,3,4
18,,4,,,4,2,1,1,1,4,4,4,4,1,2,1,4,3,3,2,3,4,4,4,4,1,1,3,3,2,3,3,3,1,4,3,4,4,5,4,2,3,3,3,3,2,4,4,4,4,4,2,3,3,3,3,3
21,,4,,,4,4,3,3,4,4,5,3,4,2,3,2,4,3,4,1,1,2,3,4,4,2,3,2,3,5,3,3,3,3,3,3,4,5,5,4,1,1,1,1,2,3,1,1,1,1,3,5,7,7,6,1,7
18,,4,,,2,4,3,2,3,5,5,4,4,4,4,4,5,4,5,4,3,4,4,5,5,5,5,4,3,5,5,2,3,1,5,3,3,4,4,4,1,1,1,1,3,5,1,1,1,1,3,3,2,3,2,3,5
19,,4,,,4,5,4,3,4,4,5,3,4,3,4,3,2,3,4,3,4,3,4,5,4,4,4,4,3,3,3,4,4,4,3,4,4,3,4,3,4,1,1,1,1,1,1,1,1,1,3,3,3,2,3,4,4
21,,4,,,4,4,2,3,4,2,4,2,3,1,2,2,2,2,1,2,2,2,2,2,3,2,3,2,4,4,4,3,4,1,4,4,3,5,4,4,5,3,2,3,1,2,1,1,1,1,1,5,5,5,5,5,5
21,,4,,,5,4,3,3,4,3,4,4,4,3,3,3,4,3,4,4,4,3,2,2,5,3,2,4,3,4,3,4,3,3,4,4,4,4,4,4,1,1,1,1,1,6,1,1,1,1,7,7,6,7,7,6,7
18,,4,,,4,4,2,3,4,4,4,4,3,2,4,3,2,4,5,5,2,4,4,5,4,1,3,4,3,4,4,5,3,1,4,3,4,4,4,3,1,1,1,1,2,5,4,4,4,4,7,7,5,7,5,4,7
21,,4,,,1,4,1,2,3,4,5,4,4,3,5,2,5,4,4,3,3,5,4,4,5,4,5,3,3,2,4,2,4,3,3,4,4,5,5,4,1,1,1,1,1,3,1,1,1,1,3,5,6,6,7,5,6
23,,4,,,2,4,2,1,1,4,5,5,5,2,4,2,5,4,4,4,2,4,5,5,2,4,5,3,3,5,5,5,4,4,5,3,4,5,5,4,6,4,6,5,4,7,7,7,7,7,5,7,7,7,6,7,7
22,,,4,,3,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,2,3,3,3,3,3,4,3,4,3,4,4,3,3,4,2,4,4,4,6,2,1,1,1,4,4,4,5,5,5,6
24,,4,,,4,5,3,4,5,2,5,2,4,2,2,4,5,2,2,2,4,3,2,5,2,1,4,4,5,5,5,4,4,4,5,4,4,5,5,4,4,1,2,4,3,5,5,5,7,5,5,7,7,7,7,7,7
22,,4,,,3,4,3,1,3,4,4,5,5,2,5,2,5,3,3,4,5,2,2,3,3,4,3,2,2,4,4,4,4,2,2,3,3,4,2,3,4,2,1,3,4,6,4,6,6,4,4,6,6,5,1,5,6
20,4,,,,5,5,4,4,5,4,5,4,4,2,2,3,4,4,3,4,4,4,4,4,4,4,2,5,3,4,4,4,4,4,5,4,4,4,4,5,4,4,3,5,5,6,6,6,6,4,6,6,6,6,6,6,7
20,,4,,,3,4,3,3,4,4,5,3,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,5,3,4,3,5,5,5,5,4,5,1,1,1,1,2,5,4,4,5,5,6,6,6,6,7,6,6
24,4,,,,5,4,3,4,4,2,4,4,3,2,1,2,4,1,2,1,3,2,2,2,3,1,2,2,4,4,4,5,4,2,4,4,4,2,2,1,4,4,3,4,3,3,5,3,3,4,4,7,7,7,7,5,7
23,4,,,,3,3,2,5,3,4,2,4,3,3,4,3,4,1,4,3,4,2,2,4,2,3,1,2,2,3,3,4,3,3,3,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,7,1,6,7,7,7
22,,4,,,2,2,2,2,1,1,1,1,1,1,4,1,5,3,1,1,1,2,2,2,3,1,2,2,4,4,4,4,4,2,2,4,4,4,3,3,5,3,,4,2,6,1,1,1,1,5,5,2,5,5,4,6
20,,4,,,5,5,5,5,5,4,5,3,2,1,3,1,4,2,2,1,4,1,1,1,1,1,1,1,5,1,5,5,5,5,5,5,5,5,5,4,7,5,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7
20,,4,,,4,2,5,3,4,3,4,4,4,3,4,4,3,2,4,4,3,4,4,4,4,5,5,4,4,4,4,4,3,4,4,4,4,5,4,3,3,2,2,2,2,5,4,4,5,5,6,6,6,6,6,6,6
43,,4,,,4,3,2,4,5,1,4,3,1,2,3,2,4,2,2,1,1,1,2,3,2,1,2,1,3,1,4,3,4,1,3,3,3,3,3,4,2,3,6,2,5,4,5,7,7,6,7,7,7,7,7,7,7
20,,4,,,4,4,4,4,3,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,2,4,4,4,2,4,5,4,4,4,4,4,5,4,5,5,5,6,6,7,4,5,5,6,6,6,6,6
23,,4,,,5,5,4,4,5,3,5,3,3,1,4,2,2,4,4,4,5,2,2,4,4,3,2,3,5,4,4,5,3,4,4,4,4,5,4,4,2,5,6,4,5,6,4,7,6,5,5,7,4,7,7,5,7
56,,4,,,1,1,1,1,1,4,4,5,4,3,5,3,4,4,4,3,3,4,4,4,5,4,5,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6
19,,4,,,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,1,2,4,4,4,4,4,5,6,4,5,5,5,6
21,,4,,,4,5,3,2,4,3,4,2,2,1,4,2,4,3,4,2,2,3,3,2,4,2,2,3,5,4,4,5,5,2,3,4,4,4,4,3,1,1,1,1,1,6,4,5,6,1,4,6,6,7,6,6,7
21,,4,,,4,4,5,5,4,4,5,1,1,1,2,2,3,2,4,4,2,2,2,3,1,4,2,4,5,5,5,5,5,5,4,5,5,5,5,5,2,2,2,2,3,7,5,7,7,5,7,7,7,7,7,7,7
53,,4,,,2,4,3,3,4,3,4,3,4,5,4,5,4,4,4,2,3,3,3,4,5,4,4,4,2,4,4,2,3,1,4,3,3,4,4,5,1,1,1,1,3,4,1,1,1,1,3,3,2,1,3,5,6
20,,4,,,4,4,3,3,3,3,4,4,4,3,4,2,4,2,4,4,4,3,3,2,4,4,3,3,3,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,6,5,5,5,4,4,5,5,5,3,4,6
49,,,,4,4,4,3,3,4,2,3,2,3,3,2,3,3,3,3,3,2,3,3,1,4,3,3,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,4,1,1,1,1,7,7,7,5,,7,7
22,,4,,,4,4,3,3,4,4,4,4,4,4,4,4,5,5,5,4,3,5,5,2,5,2,4,3,3,4,3,5,3,3,4,3,4,5,4,3,4,4,4,4,4,3,4,4,4,4,7,7,6,5,5,7,7
21,4,,,,2,3,2,2,2,2,3,1,2,1,2,1,5,2,1,1,1,4,4,2,2,3,3,1,1,2,1,2,4,1,1,2,5,4,1,2,2,2,2,3,3,7,4,1,2,1,6,4,5,7,7,7,7
22,,4,,,4,4,3,4,4,2,4,2,4,1,1,2,3,2,4,2,1,1,4,1,2,4,2,2,4,3,4,3,4,3,4,4,4,3,4,4,4,2,4,3,2,6,5,6,6,5,5,6,6,6,5,6,7
20,4,,,,4,4,5,3,4,4,5,3,1,4,1,2,4,2,2,1,1,3,2,1,3,3,3,1,5,4,5,3,5,1,3,5,5,5,5,5,4,4,4,4,4,5,4,4,4,4,6,6,6,6,7,7,7
21,,4,,,4,2,3,4,5,1,4,4,4,3,4,1,5,1,4,1,4,5,5,1,2,5,5,4,3,4,5,4,4,4,4,3,5,5,5,3,4,4,4,4,6,7,4,4,4,4,5,7,7,7,7,7,7
22,,4,,,4,5,4,2,3,4,5,4,4,5,4,5,4,5,5,4,5,5,4,4,4,5,4,2,2,5,4,4,3,3,4,3,2,2,4,4,2,4,4,4,4,4,4,4,4,2,2,3,3,5,5,2,2
22,,,,4,2,4,4,2,3,4,5,4,4,2,4,2,5,2,2,4,4,4,5,3,4,4,4,2,2,1,3,4,2,1,3,2,3,2,4,3,3,2,1,2,1,5,5,4,5,2,3,7,6,5,5,2,7
21,4,,,,4,5,4,3,4,3,5,1,2,3,2,2,3,2,2,3,4,1,2,1,2,2,2,4,4,4,5,4,5,2,4,4,4,3,4,4,4,2,4,5,6,5,3,5,7,6,5,7,6,6,7,4,6
21,,4,,,2,2,2,1,2,1,3,2,2,1,2,1,5,4,4,2,2,2,4,4,4,4,3,2,3,4,3,4,3,3,3,3,3,5,4,3,3,3,1,2,2,6,4,4,4,4,1,6,5,5,5,2,5
23,,4,,,2,4,4,2,3,2,4,4,4,2,3,4,4,4,4,2,4,5,5,2,4,4,4,4,4,2,4,2,3,1,4,2,4,4,1,2,5,5,4,4,3,5,2,2,2,2,5,5,5,5,2,5,6
22,,4,,,2,1,3,3,3,2,3,3,2,2,3,2,3,2,2,4,4,3,2,4,3,4,3,3,2,3,4,4,4,2,3,3,3,4,4,4,4,1,1,1,1,3,4,4,4,4,6,6,6,6,3,1,6
22,,,,4,2,2,1,4,2,2,5,1,2,4,1,4,5,4,4,2,5,5,4,5,1,4,2,4,5,4,5,4,4,4,5,5,4,3,5,5,4,5,3,2,2,6,2,2,3,1,6,6,6,6,3,4,6
20,,4,,,1,2,3,2,4,4,4,4,4,4,4,4,4,4,4,2,1,2,4,4,2,2,2,4,4,4,4,2,4,4,4,4,4,4,3,4,1,1,1,1,1,3,2,2,2,2,3,3,5,5,3,2,5
49,,4,,,4,3,3,4,3,5,4,4,3,4,3,4,4,3,4,3,2,3,4,4,4,4,4,3,4,4,4,3,2,2,2,4,4,4,3,4,2,3,1,2,3,3,1,1,1,1,2,2,1,4,5,4,3
21,,4,,,5,5,4,2,5,5,4,4,2,1,4,1,2,1,1,1,2,1,1,1,1,1,2,4,3,4,4,2,3,4,3,4,3,3,5,4,4,4,4,4,4,6,6,5,6,5,6,6,7,7,7,6,7
18,,4,,,5,4,3,4,5,2,3,1,3,1,2,1,4,2,4,5,3,4,2,4,4,1,2,5,5,4,5,5,4,1,3,4,5,4,5,4,4,3,1,2,5,7,1,6,6,2,6,7,7,7,6,7,7
21,,4,,,4,2,3,3,3,3,4,4,3,1,2,1,4,1,1,1,1,1,1,4,1,4,3,1,4,2,3,3,3,3,3,3,4,5,4,4,4,4,4,5,3,2,4,4,6,5,5,5,5,5,3,2,6
21,4,,,,4,5,4,1,3,3,5,4,4,3,4,3,4,4,4,1,2,4,4,4,3,4,4,2,4,4,4,4,1,1,4,4,4,3,1,4,1,1,1,1,4,4,4,4,4,4,6,6,6,5,5,4,7
21,4,,,,5,5,3,3,4,2,4,2,4,1,3,2,3,1,1,3,4,2,2,1,3,2,2,2,4,4,4,4,5,3,4,3,3,3,4,3,1,1,1,1,2,1,1,5,5,4,7,7,7,7,7,2,6
21,,,4,,2,4,3,4,4,4,3,4,4,5,5,3,5,5,5,3,4,4,4,5,5,5,5,5,4,5,4,2,4,5,4,3,3,5,4,4,4,3,1,3,3,5,4,4,4,4,5,7,6,7,7,5,7
20,,4,,,3,4,4,4,4,3,4,3,2,3,2,2,4,2,2,3,3,3,2,3,2,3,3,3,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,5,6,5,5,5,4,5,6,5,4,6,5,6
18,,,,4,5,4,3,3,4,2,4,4,5,3,4,3,2,1,4,3,3,3,4,4,4,2,1,2,5,4,5,4,4,2,4,3,4,3,4,5,4,4,1,2,2,5,4,3,3,4,6,6,6,5,6,6,7
20,,4,,,4,4,3,2,3,4,4,3,3,4,4,2,4,4,3,2,2,2,2,2,4,4,3,4,4,3,4,4,3,3,3,4,3,2,3,3,1,1,1,1,2,3,4,5,6,4,7,7,7,5,6,5,7
21,,4,,,3,4,2,4,2,2,5,4,2,2,2,4,4,2,2,2,2,1,2,4,4,4,2,1,4,4,5,4,4,4,2,4,4,5,5,2,2,2,2,2,2,6,2,5,5,1,5,6,5,7,7,2,7
20,4,,,,4,4,2,4,2,3,4,1,2,4,2,4,5,5,5,4,2,3,4,4,3,2,4,3,4,2,4,3,5,2,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,6,4,5,5,6
20,,4,,,4,4,3,3,3,3,4,3,3,3,3,3,4,4,4,4,3,4,4,5,3,4,5,5,5,4,4,3,4,4,3,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,6,6
22,4,,,,5,5,1,1,5,1,1,5,4,1,5,1,5,4,4,1,5,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,7,4,4,4,4,7,7,7,7,1,7,7
23,,4,,,2,4,3,3,2,4,4,4,3,4,3,1,4,4,4,5,3,4,4,4,2,4,5,4,4,5,4,4,4,4,4,3,3,3,5,4,1,1,1,1,3,5,1,1,1,1,5,6,4,6,6,5,2
31,,4,,,2,3,4,3,3,4,4,4,4,2,4,2,5,4,4,4,1,4,3,3,5,4,4,2,4,2,5,4,3,2,3,3,3,4,4,3,3,3,3,5,4,5,5,4,4,4,6,6,5,5,3,4,6
20,,4,,,4,2,4,2,2,5,5,4,5,4,4,5,4,4,4,5,5,5,4,4,2,3,4,5,5,4,5,4,4,4,5,4,4,4,4,3,3,1,2,2,3,3,4,2,5,2,2,4,2,3,6,3,7
21,,,,4,2,1,4,1,4,1,5,4,4,4,5,2,5,5,5,4,5,5,5,5,5,5,4,3,5,5,5,2,5,4,5,4,5,5,5,5,1,1,1,1,2,3,1,1,2,1,5,6,6,4,1,6,7
32,4,,,,3,3,3,3,2,4,2,2,2,3,3,3,3,2,3,3,3,2,2,2,3,4,4,4,3,2,3,2,3,3,3,2,2,2,3,3,4,3,4,4,3,3,4,4,3,4,4,5,5,4,4,4,3
23,,4,,,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,5,3,2,5,3,3,2,4,4,4,4,4,4,4,1,4,4,4,4,4,1,1,1,1,3,6,4,4,4,4,5,5,5,6,5,5,5
21,,,,4,4,4,3,3,4,4,3,4,3,2,2,2,4,3,3,3,3,4,4,2,2,2,3,2,3,4,4,3,4,3,2,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,6,6,6,4,4,6
20,,,,4,4,4,3,5,4,4,5,4,4,2,4,1,5,2,3,5,5,2,2,4,2,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,5,5,1,5,5,6,6,7,4,5
21,,4,,,4,4,4,2,3,4,5,4,4,4,2,2,4,2,4,4,4,4,4,1,4,1,2,4,3,4,4,4,3,2,1,3,3,5,4,2,5,6,5,5,5,3,4,4,5,4,7,7,5,7,7,6,6
21,,4,,,4,4,2,4,5,4,5,4,5,1,5,1,4,4,1,2,1,4,4,5,4,5,5,5,4,5,5,4,4,1,5,4,5,5,5,5,1,1,1,5,3,7,2,7,7,3,6,7,7,7,7,7,7
19,4,,,,5,5,3,4,4,1,3,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,3,3,3,1,3,1,4,4,4,2,5,3,4,5,5,5,6,6,6,6,6,6,6
21,,4,,,3,2,,3,3,4,,4,4,2,4,,4,4,4,3,3,,4,4,3,4,,3,3,3,,,,,,,4,4,3,4,1,1,1,1,1,3,3,4,4,3,5,5,5,4,4,5,6
56,,4,,,1,1,1,1,1,4,4,5,4,4,4,4,5,5,3,4,5,5,5,4,5,5,5,3,4,1,4,1,1,1,2,2,4,3,4,4,5,3,3,5,3,7,6,7,7,7,6,6,5,6,2,6,7
20,,,4,,5,4,1,3,5,5,4,5,5,4,5,3,3,5,4,3,4,2,1,3,4,1,3,3,3,4,3,2,2,2,2,2,2,4,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2
21,,4,,,5,4,4,4,5,3,5,4,1,2,4,2,1,3,4,4,4,3,3,4,4,3,4,4,5,4,4,4,4,4,5,5,4,5,4,3,3,2,4,6,6,5,4,5,5,4,6,6,6,6,2,4,6
21,,4,,,4,4,4,4,4,5,4,4,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,3,3,4,3,4,5,4,4,1,1,1,1,1,1,1,6,6,1,6,6,6,6,5,5,6
25,,4,,,2,1,3,1,1,4,4,5,5,4,4,4,5,5,5,,5,5,5,5,5,5,,5,4,4,4,4,4,4,5,4,3,4,4,1,1,1,1,1,1,4,1,1,1,1,6,6,6,6,7,5,7
