Age,gender ,goal _1,goal_2,goal_3,goal_4,goal_5,goal_6,goal_7,goal_8,goal_9,goal_10,goal_11,goal_12,goal _13,goal_14,goal_15,goal_16,goal_17,goal_18,self_1,self_2,self_3,self_4,self_5, self_6,self_7,self_8,teach_1,teach_2,teach_3,teach_4,teach_5,teach_6,ed_1,ed_2,ed_3,ed_4,ed_5,ed_6,ed_7,ed_8,ed_9,ed_10,ed_11,ed_12,ed_13,ed_14,ed_15,ed_16,ed_17
21,2,4,4,4,4,5,5,2,3,3,3,3,2,4,4,3,3,5,5,4,4,4,4,4,4,3,4,2,2,2,3,3,2,4,4,4,5,5,5,3,1,1,3,4,1,5,5,3,4,4
19,1,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,1,3,1,4,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4
18,1,4,4,5,4,4,3,4,4,5,4,4,4,5,2,3,2,2,3,4,4,5,5,4,4,5,4,3,3,2,3,2,2,5,5,4,4,5,4,2,2,2,5,5,5,4,4,3,3,4
20,1,5,5,5,5,5,4,5,4,5,4,4,4,4,2,4,3,4,4,4,3,4,4,4,4,4,4,3,3,2,2,2,2,4,5,5,2,3,4,3,4,3,4,4,2,4,4,3,3,3
19,2,4,3,2,4,3,2,4,3,3,4,3,3,4,4,2,2,4,2,4,3,4,4,3,3,3,4,2,3,3,2,3,1,4,4,4,4,3,3,3,2,4,4,4,2,5,5,3,4,3
19,2,2,2,2,4,4,3,5,2,5,5,3,2,5,4,3,4,5,4,2,1,2,1,4,4,1,1,1,3,1,3,3,2,4,2,4,1,4,2,4,4,5,4,4,1,5,5,1,2,1
20,1,4,5,4,5,4,4,5,3,5,5,3,3,5,3,1,1,3,2,4,4,4,3,5,4,4,5,3,2,2,2,3,2,5,5,5,5,4,4,4,3,3,4,4,4,4,5,3,4,4
20,1,4,4,3,4,4,3,2,2,3,3,2,2,2,2,2,2,1,1,4,3,4,4,4,4,3,3,3,3,2,2,3,2,4,4,4,4,5,4,2,3,2,4,4,3,4,4,3,3,3
18,2,4,4,4,4,4,4,4,2,3,4,3,1,3,3,2,1,3,1,4,4,4,4,4,4,3,4,3,2,2,2,2,2,5,5,5,4,5,5,4,2,2,4,5,3,4,4,3,4,4
19,2,1,4,2,4,2,3,4,2,3,3,2,2,4,4,4,4,5,4,3,3,4,4,3,3,2,2,1,1,1,1,2,2,3,4,4,2,5,2,5,1,5,4,5,1,4,4,1,2,1
19,1,4,4,4,5,4,2,1,1,4,3,2,2,3,1,1,1,1,2,4,4,5,4,4,4,4,4,3,3,2,1,3,1,4,5,4,2,3,4,2,1,2,4,4,2,5,5,4,4,4
19,2,4,4,4,5,4,3,3,3,4,4,3,2,4,3,4,4,4,2,4,3,4,4,4,4,3,3,2,2,2,1,3,1,4,4,5,5,3,4,2,2,3,5,4,3,5,5,3,3,4
,2,5,5,4,5,4,5,5,5,5,5,4,4,5,5,4,4,3,4,4,4,5,5,5,5,4,4,2,3,3,2,3,1,5,5,5,5,5,4,4,3,2,3,5,3,5,5,4,5,5
21,2,4,4,3,3,4,2,4,5,5,5,5,5,5,2,2,3,4,4,3,4,4,3,3,4,5,5,3,2,1,2,3,1,4,5,5,3,3,3,1,2,3,3,3,1,4,4,3,3,3
25,1,4,2,2,2,3,3,5,3,5,5,3,3,4,4,4,4,5,4,5,4,5,5,5,4,3,4,3,3,2,2,2,2,5,5,5,3,3,5,2,1,2,3,3,1,5,5,3,4,4
23,1,5,5,5,5,5,5,3,3,3,3,3,3,5,2,2,1,1,1,5,4,5,5,5,5,5,5,3,3,3,2,3,1,5,5,5,1,5,5,1,1,2,3,3,1,5,5,3,4,4
18,2,4,4,4,5,4,4,5,4,4,5,4,4,3,4,4,3,3,2,4,3,3,4,3,4,3,4,1,1,1,3,1,2,5,4,5,4,4,2,3,4,4,3,4,2,3,1,1,2,4
